date,hour,route_id,direction_id,stop_sequence,stop_id,n_obs,n_occ,sum_occ,max_occ,n_nodata
2026-09-08,9,10060,1,25,9_2,2,2,2,1,0
2026-09-08,9,10060,1,26,8_3,1,1,1,1,0
2026-09-08,9,10060,1,27,6_1,1,1,1,1,0
2026-09-08,9,10060,1,32,3_1,1,1,1,1,0
2026-09-08,9,10061,0,3,128_1,2,2,0,0,0
2026-09-08,9,10061,0,4,114_5,1,1,0,0,0
2026-09-08,9,10061,0,6,4_5,1,1,1,1,0
2026-09-08,9,10061,0,7,5_3,1,1,1,1,0
2026-09-08,9,10061,0,9,6_2,1,1,1,1,0
2026-09-08,9,10061,0,10,8_1,1,1,1,1,0
2026-09-08,9,10061,0,11,9_5,2,2,2,1,0
2026-09-08,9,10061,0,12,6241_2,1,1,1,1,0
2026-09-08,9,10061,0,14,6166_2,1,1,1,1,0
2026-09-08,9,10061,0,32,6067_2,1,1,1,1,0
2026-09-08,9,10061,0,35,6015_2,1,1,1,1,0
2026-09-08,9,10064,1,1,6301_1,1,0,0,0,1
2026-09-08,9,10064,1,2,6289_1,1,0,0,0,1
2026-09-08,9,10064,1,4,6152_9,1,0,0,0,1
2026-09-08,9,10064,1,5,6073_1,1,1,1,1,0
2026-09-08,9,10064,1,12,6006_1,1,1,1,1,0
2026-09-08,9,10064,1,14,6170_1,1,1,1,1,0
2026-09-08,9,10064,1,15,7841_2,2,2,2,1,0
2026-09-08,9,10068,0,2,73_1,1,1,1,1,0
2026-09-08,9,10068,0,3,128_1,2,2,0,0,0
2026-09-08,9,10068,0,14,152_3,2,2,6,3,0
2026-09-08,9,10068,0,16,250_2,1,1,3,3,0
2026-09-08,9,10068,0,18,606_2,1,1,3,3,0
2026-09-08,9,10068,0,36,422_1,1,1,1,1,0
2026-09-08,9,10068,0,37,421_1,2,2,2,1,0
2026-09-08,9,10068,0,40,418_1,1,1,1,1,0
2026-09-08,9,10068,1,1,6109_1,1,1,0,0,0
2026-09-08,9,10068,1,5,419_2,1,1,1,1,0
2026-09-08,9,10068,1,6,6163_2,1,1,1,1,0
2026-09-08,9,10068,1,7,421_2,1,1,1,1,0
2026-09-08,9,10068,1,8,422_2,1,1,1,1,0
